sample_time,amplitude_sampled,amplitude_quantized_8bit,binary_code_8bit
0.0,-0.07586789754258223,-0.07450980392156858,01110110
0.00012578616352201257,-0.06230839116863703,-0.05882352941176472,01111000
0.00025157232704402514,-0.051621228439023316,-0.050980392156862786,01111001
0.0003773584905660377,-0.03876007977960027,-0.03529411764705881,01111011
0.0005031446540880503,-0.02518380954951018,-0.027450980392156876,01111100
0.0006289308176100629,-0.02894136657319794,-0.027450980392156876,01111100
0.0007547169811320754,-0.0244110366686865,-0.027450980392156876,01111100
0.000880503144654088,-0.018960330174368635,-0.019607843137254943,01111101
0.0010062893081761006,-0.010810233966189355,-0.0117647058823529,01111110
0.001132075471698113,-6.991754636027653e-05,-0.0039215686274509665,01111111
0.0012578616352201257,0.010257026713409206,0.0117647058823529,10000001
0.0013836477987421384,0.01365968063627424,0.0117647058823529,10000001
0.0015094339622641509,0.020489520954411262,0.019607843137254832,10000010
0.0016352201257861633,0.05136159310604813,0.050980392156862786,10000110
0.001761006289308176,0.11505974883654746,0.11372549019607847,10001110
0.0018867924528301887,0.16209463155906315,0.16078431372549007,10010100
0.002012578616352201,0.16615761786421934,0.16862745098039222,10010101
0.0021383647798742136,0.17899055418037418,0.17647058823529416,10010110
0.002264150943396226,0.20145821015987808,0.19999999999999996,10011001
0.002389937106918239,0.20531144382595357,0.2078431372549019,10011010
0.0025157232704402514,0.19744551542315655,0.19999999999999996,10011001
0.002641509433962264,0.14120400468079575,0.1450980392156862,10010010
0.002767295597484277,0.07410033290565046,0.07450980392156858,10001001
0.0028930817610062893,0.03633422713307803,0.0352941176470587,10000100
0.0030188679245283017,0.009483027208965204,0.0117647058823529,10000001
0.003144654088050314,-0.05774126255551475,-0.05882352941176472,01111000
0.0032704402515723267,-0.10554196729167219,-0.10588235294117654,01110010
0.0033962264150943396,-0.14595471796243098,-0.14509803921568631,01101101
0.003522012578616352,-0.16217926858886764,-0.16078431372549018,01101011
0.0036477987421383645,-0.15036606537576805,-0.15294117647058825,01101100
0.0037735849056603774,-0.1463386511556021,-0.14509803921568631,01101101
0.00389937106918239,-0.15693749698455026,-0.16078431372549018,01101011
0.004025157232704402,-0.13481779323868717,-0.13725490196078427,01101110
0.004150943396226415,-0.09249723396373603,-0.09019607843137256,01110100
0.004276729559748427,-0.06376848215139966,-0.06666666666666665,01110111
0.00440251572327044,-0.03406824443174207,-0.03529411764705881,01111011
0.004528301886792452,-0.020181638425702253,-0.019607843137254943,01111101
0.004654088050314465,-0.011942816442317167,-0.0117647058823529,01111110
0.004779874213836478,0.00809285377256271,0.0117647058823529,10000001
0.00490566037735849,0.015161067947588964,0.0117647058823529,10000001
0.005031446540880503,0.0031413830917294073,0.0039215686274509665,10000000
0.005157232704402516,0.003878175013022649,0.0039215686274509665,10000000
0.005283018867924528,-0.0012523827163825477,-0.0039215686274509665,01111111
0.005408805031446541,-0.01392013371832961,-0.0117647058823529,01111110
0.005534591194968554,-0.01763394116622479,-0.019607843137254943,01111101
0.005660377358490566,-0.017448720999550964,-0.019607843137254943,01111101
0.0057861635220125785,-0.0290014711305953,-0.027450980392156876,01111100
0.005911949685534591,-0.028213161017247038,-0.027450980392156876,01111100
0.0060377358490566035,-0.04061228144633637,-0.04313725490196085,01111010
0.006163522012578616,-0.04840338580829181,-0.050980392156862786,01111001
0.006289308176100628,-0.039755689284788384,-0.04313725490196085,01111010
0.006415094339622641,-0.05203337397546262,-0.050980392156862786,01111001
0.006540880503144653,-0.051044306462916245,-0.050980392156862786,01111001
0.006666666666666666,-0.046049495080830456,-0.04313725490196085,01111010
0.006792452830188679,-0.04399408276765546,-0.04313725490196085,01111010
0.006918238993710691,-0.035327578015306886,-0.03529411764705881,01111011
0.007044025157232704,-0.02287775714324269,-0.019607843137254943,01111101
0.007169811320754717,-0.018717049822998214,-0.019607843137254943,01111101
0.007295597484276729,0.0015398215180856389,0.0039215686274509665,10000000
0.007421383647798742,0.13413211063490832,0.13725490196078427,10010001
0.007547169811320755,0.2461134430589048,0.24705882352941178,10011111
0.007672955974842767,0.246162099129179,0.24705882352941178,10011111
0.00779874213836478,0.273538702837344,0.2705882352941176,10100010
0.007924528301886792,0.31419473385947255,0.3176470588235294,10101000
0.008050314465408805,0.2981320975509233,0.3019607843137255,10100110
0.008176100628930818,0.3083237043379137,0.30980392156862746,10100111
0.00830188679245283,0.20807216472083262,0.2078431372549019,10011010
0.008427672955974842,0.08003064923552779,0.08235294117647052,10001010
0.008553459119496854,0.00477810787582364,0.0039215686274509665,10000000
0.008679245283018867,-0.011973073158285611,-0.0117647058823529,01111110
0.00880503144654088,-0.14475875993258494,-0.14509803921568631,01101101
0.008930817610062893,-0.19697203870569974,-0.19999999999999996,01100110
0.009056603773584904,-0.27928993211864805,-0.2784313725490196,01011100
0.009182389937106917,-0.29033404232178583,-0.2941176470588236,01011010
0.00930817610062893,-0.2633515936702949,-0.26274509803921564,01011110
0.009433962264150943,-0.23416122250216484,-0.2313725490196079,01100010
0.009559748427672956,-0.24561134512363944,-0.24705882352941178,01100000
0.009685534591194969,-0.14505642059779086,-0.14509803921568631,01101101
0.00981132075471698,-0.06632108590535997,-0.06666666666666665,01110111
0.009937106918238993,0.0044334266385030255,0.0039215686274509665,10000000
0.010062893081761006,0.06703702522510586,0.06666666666666665,10001000
0.010188679245283019,0.08860515721634947,0.09019607843137245,10001011
0.010314465408805032,0.10451691881959585,0.10588235294117654,10001101
0.010440251572327043,0.13723873939072773,0.13725490196078427,10010001
0.010566037735849056,0.10760187722478895,0.10588235294117654,10001101
